Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,dataset.batch_size,dataset.encoding,dataset.train_fraction,dataset.window_size,logger.project,logger.tracking_url,model.embedding_size,model.weight_init,optimiser.lr,optimiser.momentum,training.epochs,epoch,test_loss,train_loss
2023-12-18 22:06:58,5.3min,2156f70f91df489bbd16035ce40f5ab9,industrious-mule-68,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0002542379885773171,0.99,38,37,0.1634674277461943,0.10778703540563583
2023-12-18 22:05:21,3.0min,06c69c7c85ce4c3e9a4406ffbc34ad65,skittish-hare-502,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00020551889118433132,0.99,26,25,0.1697822330020816,0.14743784070014954
2023-12-18 22:02:36,2.7min,d35dc07ed83b491b82a66c2dfdda0e34,fearless-goose-321,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.05296893471047359,0.99,23,22,0.23702826855775436,0.1003643274307251
2023-12-18 21:58:59,7.9min,88276025a65f47a8903d3560aa779225,secretive-hawk-566,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.007186780348993518,0.99,57,56,0.42590100680544074,0.01094252709299326
2023-12-18 21:58:25,4.1min,bf02e79042f641fcab045d7fca7ebbf9,delightful-crane-773,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0008689429406322724,0.99,36,35,0.1600447385444667,0.104294054210186
2023-12-18 21:57:44,1.2min,be69d9b8e4074f37b44c4e9ab118aede,receptive-foal-481,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.010388538087236415,0.99,8,7,0.16939139573789033,0.10911296308040619
2023-12-18 21:56:52,46.8s,37193866a42148bcb0145d57329161eb,invincible-grub-45,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00038207243974616636,0.99,5,4,0.1904738263679984,0.18384601175785065
2023-12-18 21:55:02,1.8min,325ab72e58314a249fcaf9f576dc84e1,brawny-penguin-275,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0008145324023513575,0.99,12,11,0.16218166545929152,0.1266365498304367
2023-12-18 21:52:05,2.9min,e763812d47dc4f89b6b3732ea4870aa1,adventurous-deer-166,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0005843618712391848,0.99,20,19,0.16106554548271368,0.16362416744232178
2023-12-18 21:51:12,7.1min,a81c7fb64e2644b4bd81c0db9c1dea4c,delicate-turtle-451,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.002850817060822346,0.99,64,63,0.3000032983598162,0.04339969530701637
2023-12-18 21:49:28,2.5min,2f9390b75fe9455f98c0b1acdc51cc61,handsome-fox-182,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.004593255403980238,0.99,18,17,0.18207349103005205,0.11363730579614639
2023-12-18 21:46:08,3.3min,46f6722779ae4fc0b4a79436ad0db0bc,abundant-perch-414,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0001989236831777141,0.99,23,22,0.17253517176284164,0.17421090602874756
2023-12-18 21:44:19,1.7min,97d15b2b88f048a29dec1a9d20e41aa3,charming-asp-780,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0004239921401932376,0.99,12,11,0.17101148971931532,0.13077566027641296
2023-12-18 21:42:48,1.4min,049be0df051a4944ade1429e9606ecdb,bald-shad-499,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0003988267252630239,0.99,10,9,0.17779004492394912,0.14279504120349884
2023-12-18 21:42:48,8.3min,580b205af5554d4687f14bf9abc95571,abrasive-mink-997,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0002914932703312613,0.99,75,74,0.15895729454977264,0.16786636412143707
